0 5 10
0 6 15
0 10 8
0 11 46
0 16 29
0 17 59
0 19 71
0 21 6
0 23 7
0 25 17
0 26 59
0 27 53
0 28 94
0 29 99
0 31 52
0 35 35
0 36 89
0 38 77
0 40 6
0 43 43
0 46 12
0 48 90
0 50 81
0 51 81
0 60 72
0 63 71
0 64 18
0 65 47
0 66 50
0 67 85
0 70 32
0 73 84
0 74 62
0 77 10
0 81 47
0 84 38
0 87 54
0 97 9
0 98 70
0 99 93
1 2 98
1 6 91
1 7 61
1 9 48
1 10 82
1 11 83
1 12 34
1 13 66
1 15 39
1 16 69
1 17 67
1 18 8
1 19 97
1 20 61
1 21 62
1 22 4
1 24 46
1 25 46
1 28 50
1 31 11
1 32 17
1 33 49
1 34 58
1 36 36
1 37 67
1 38 10
1 39 32
1 41 93
1 42 79
1 43 99
1 44 76
1 45 32
1 46 34
1 47 86
1 50 24
1 51 20
1 52 39
1 53 70
1 54 47
1 55 11
1 57 49
1 58 69
1 61 28
1 62 50
1 63 21
1 65 40
1 67 90
1 68 8
1 69 51
1 70 8
1 71 19
1 72 71
1 73 71
1 74 63
1 75 70
1 76 83
1 77 14
1 80 30
1 82 63
1 86 70
1 91 66
1 92 92
1 93 85
1 94 69
1 97 3
1 98 39
1 99 40
2 5 15
2 6 10
2 7 91
2 8 52
2 9 99
2 11 28
2 12 96
2 16 26
2 17 25
2 18 67
2 19 15
2 20 81
2 22 27
2 24 11
2 26 76
2 29 50
2 31 22
2 33 71
2 34 93
2 36 21
2 37 84
2 39 69
2 40 92
2 41 49
2 42 39
2 43 28
2 44 8
2 45 19
2 46 69
2 47 9
2 49 71
2 50 56
2 51 44
2 55 43
2 56 34
2 57 19
2 58 45
2 59 66
2 60 75
2 61 27
2 63 39
2 64 97
2 65 10
2 66 92
2 67 20
2 70 21
2 71 1
2 73 52
2 74 91
2 75 91
2 77 20
2 78 88
2 79 92
2 80 15
2 81 54
2 83 95
2 85 77
2 87 32
2 88 65
2 89 36
2 91 95
2 92 48
2 94 98
2 95 97
2 96 80
2 97 48
3 4 50
3 5 52
3 6 75
3 7 40
3 8 11
3 9 28
3 10 28
3 11 92
3 12 27
3 13 89
3 15 66
3 16 70
3 17 46
3 19 35
3 20 8
3 21 82
3 23 73
3 24 65
3 25 14
3 26 55
3 29 95
3 31 35
3 32 86
3 33 59
3 35 34
3 36 1
3 39 4
3 41 84
3 42 99
3 45 83
3 47 31
3 48 6
3 49 88
3 50 75
3 52 22
3 54 11
3 58 14
3 61 27
3 63 64
3 65 81
3 66 38
3 69 20
3 70 41
3 71 8
3 72 0
3 73 60
3 75 9
3 77 72
3 78 81
3 84 7
3 85 40
3 87 98
3 91 43
3 92 16
3 94 72
3 98 50
3 99 21
4 6 55
4 7 41
4 9 51
4 10 19
4 11 72
4 12 18
4 13 65
4 16 71
4 21 76
4 22 8
4 23 33
4 24 13
4 27 80
4 28 40
4 29 71
4 30 48
4 35 5
4 37 60
4 38 91
4 39 73
4 41 53
4 42 79
4 45 40
4 48 79
4 50 2
4 51 80
4 53 78
4 55 65
4 56 30
4 58 77
4 59 95
4 60 42
4 62 47
4 64 16
4 66 8
4 70 25
4 73 79
4 74 94
4 75 13
4 77 70
4 78 47
4 80 0
4 84 27
4 87 43
4 90 95
4 94 40
4 96 0
4 97 44
4 99 43
5 7 98
5 8 80
5 9 68
5 10 96
5 11 63
5 12 89
5 13 91
5 14 16
5 15 20
5 16 13
5 17 22
5 18 47
5 19 72
5 21 59
5 22 87
5 23 56
5 24 71
5 25 34
5 26 32
5 27 69
5 28 69
5 29 52
5 32 45
5 34 98
5 35 71
5 37 93
5 38 79
5 40 89
5 42 64
5 43 99
5 44 95
5 45 60
5 46 27
5 47 57
5 48 45
5 50 47
5 51 26
5 52 96
5 53 78
5 55 51
5 57 22
5 59 50
5 60 66
5 61 33
5 63 30
5 65 66
5 67 84
5 69 74
5 70 56
5 71 50
5 72 8
5 73 47
5 74 57
5 75 23
5 76 29
5 81 55
5 84 93
5 85 52
5 89 54
